"sysdate","variable","value"
2020-09-28,"premium",19.3903044496487
2020-09-29,"premium",19.4120843091335
2020-09-30,"premium",19.463887587822
2020-10-01,"premium",19.5423653395785
2020-10-02,"premium",19.566112412178
2020-10-03,"premium",19.5460421545667
2020-10-04,"premium",19.5459953161592
2020-10-05,"premium",19.5480093676815
2020-10-06,"premium",19.5579391100703
2020-10-07,"premium",19.5305854800937
2020-10-08,"premium",19.5177283372365
2020-10-09,"premium",19.5237470725995
2020-10-10,"premium",19.5247072599532
2020-10-11,"premium",19.5253864168618
2020-10-12,"premium",19.5254332552693
2020-10-13,"premium",19.5348711943794
2020-10-14,"premium",19.5222716627635
2020-10-15,"premium",19.507868852459
2020-10-16,"premium",19.5009601873536
2020-10-17,"premium",19.4732318501171
2020-10-18,"premium",19.4509601873536
2020-10-19,"premium",19.4480796252927
2020-10-20,"premium",19.4569014084507
2020-10-21,"premium",19.4370657276995
2020-10-22,"premium",19.3882863849765
2020-10-23,"premium",19.3815492957746
2020-10-24,"premium",19.3381690140845
2020-10-25,"premium",19.3017605633803
2020-10-26,"premium",19.2942253521127
2020-10-27,"premium",19.2952816901408
2020-10-28,"premium",19.2520892018779
2020-10-29,"premium",19.1971830985915
2020-10-30,"premium",19.1586384976526
2020-10-31,"premium",19.0967370892019
2020-11-01,"premium",19.05279342723
2020-11-02,"premium",19.0480516431925
2020-11-03,"premium",19.0339906103286
2020-11-04,"premium",18.9758450704225
2020-11-05,"premium",18.9094131455399
2020-11-06,"premium",18.8732552693208
2020-11-07,"premium",18.8390866510539
2020-11-08,"premium",18.8066510538642
2020-11-09,"premium",18.7918266978923
2020-11-10,"premium",18.79018735363
2020-11-11,"premium",18.755644028103
2020-11-12,"premium",18.7368149882904
2020-11-13,"premium",18.733606557377
2020-11-14,"premium",18.7092974238876
2020-11-15,"premium",18.7088758782201
2020-11-16,"premium",18.702131147541
2020-11-17,"premium",18.7067447306792
2020-11-18,"premium",18.6966744730679
2020-11-19,"premium",18.6753629976581
2020-11-20,"premium",18.6664637002342
2020-11-21,"premium",18.6454332552693
2020-11-22,"premium",18.6301170960187
2020-11-23,"premium",18.6261358313817
2020-11-24,"premium",18.6243091334895
2020-11-25,"premium",18.6174707259953
2020-11-26,"premium",18.6180796252927
2020-11-27,"premium",18.6235362997658
2020-11-28,"premium",18.6355971896955
2020-11-29,"premium",18.6582669789227
2020-11-30,"premium",18.6628103044496
2020-12-01,"premium",18.6773770491803
2020-12-02,"premium",18.6933021077283
2020-12-03,"premium",18.7072599531616
2020-12-04,"premium",18.7083138173302
2020-12-05,"premium",18.6981030444965
2020-12-06,"premium",18.6933489461358
2020-12-07,"premium",18.695925058548
2020-12-08,"premium",18.7008196721311
2020-12-09,"premium",18.7011709601874
2020-12-10,"premium",18.701756440281
2020-12-11,"premium",18.6956674473068
2020-12-12,"premium",18.6907962529274
2020-12-13,"premium",18.706112412178
2020-12-14,"premium",18.7151522248244
2020-12-15,"premium",18.7338641686183
2020-12-16,"premium",18.7577985948478
2020-12-18,"premium",18.7913348946136
2020-12-19,"premium",18.8037236533958
2020-12-20,"premium",18.864355971897
2020-12-21,"premium",18.8790632318501
2020-12-22,"premium",18.9093208430913
2020-12-23,"premium",18.9600702576112
2020-12-24,"premium",18.9753629976581
2020-12-25,"premium",18.9862529274005
2020-12-26,"premium",18.9852459016393
2020-12-27,"premium",18.9888290398126
2020-12-28,"premium",18.9922950819672
2020-12-29,"premium",19.0078454332553
2020-12-30,"premium",19.027775175644
2020-12-31,"premium",19.0348946135831
2021-01-01,"premium",19.0405152224824
2021-01-02,"premium",19.0720608899297
2021-01-03,"premium",19.0924121779859
2021-01-04,"premium",19.0955737704918
2021-01-05,"premium",19.1173536299766
2021-01-06,"premium",19.1803981264637
2021-01-07,"premium",19.1973770491803
2021-01-08,"premium",19.2667213114754
2021-01-09,"premium",19.3410070257611
2021-01-10,"premium",19.4050585480094
2021-01-11,"premium",19.4304449648712
2021-01-12,"premium",19.4648009367681
2021-01-13,"premium",19.6080796252927
2021-01-14,"premium",19.7433489461358
2021-01-15,"premium",19.828149882904
2021-01-16,"premium",19.9078922716628
2021-01-17,"premium",19.9437236533958
2021-01-18,"premium",19.948243559719
2021-01-19,"premium",19.9743091334895
2021-01-20,"premium",20.0031147540984
2021-01-21,"premium",20.0237236533958
2021-01-22,"premium",20.0387353629977
2021-01-23,"premium",20.0522014051522
2021-01-24,"premium",20.0658782201405
2021-01-25,"premium",20.0690163934426
2021-01-26,"premium",20.0755503512881
2021-01-27,"premium",20.1006557377049
2021-01-28,"premium",20.1411943793911
2021-01-29,"premium",20.1826229508197
2021-01-30,"premium",20.2166042154567
2021-01-31,"premium",20.2402576112412
2021-02-01,"premium",20.2460889929742
2021-02-02,"premium",20.2508767772512
2021-02-03,"premium",20.2565402843602
2021-02-04,"premium",20.2904028436019
2021-02-05,"premium",20.3212796208531
2021-02-06,"premium",20.3628436018957
2021-02-07,"premium",20.3995497630332
2021-02-08,"premium",20.401990521327
2021-02-09,"premium",20.4246208530806
2021-02-10,"premium",20.4599052132701
2021-02-11,"premium",20.4699054373522
2021-02-12,"premium",20.5036170212766
2021-02-13,"premium",20.5293853427896
2021-02-14,"premium",20.548463356974
